"","genes","logFC","logCPM","LR","PValue","FDR"
"17069","ENSGMOG00000017527",6.64032019188845,1.60824818007803,241.155706957097,2.20146757962344e-54,2.84671772721107e-50
"16992","ENSGMOG00000017450",-6.40218241726284,2.31869243953809,82.0575218392092,1.32183165305345e-19,8.54630255281707e-16
"9325","ENSGMOG00000009605",7.24844211966598,7.90082674258373,45.3582476017741,1.64095526458517e-11,7.07306417545029e-08
"2949","ENSGMOG00000003049",8.41003830917079,1.07664500952029,31.9321003250659,1.59656812012896e-08,5.1613055903469e-05
"2638","ENSGMOG00000002729",4.28755282733132,0.891879827802557,30.2836829997841,3.73252696419934e-08,9.20721493831374e-05
"8708","ENSGMOG00000008967",-5.00540448830045,3.02966809819838,30.0218018822853,4.2721591238019e-08,9.20721493831374e-05
"14701","ENSGMOG00000015116",3.77542256497091,-0.439694749121029,28.6649695166269,8.60462539453861e-08,0.000158952015681113
"12099","ENSGMOG00000012453",-5.22946327302888,0.693763107944676,26.9999470837488,2.03461031358388e-07,0.000328869324561915
"6509","ENSGMOG00000006713",5.18751176687209,1.17183736906467,23.7519794406044,1.09582616858463e-06,0.00157445868732976
"13970","ENSGMOG00000014363",6.31531952810437,0.552824737206998,23.4033325858165,1.31350786112659e-06,0.00169849701522279
"15670","ENSGMOG00000016099",1.51075906237967,-0.378715716041199,20.0955219017745,7.366896441221e-06,0.00784899045380865
"16056","ENSGMOG00000016491",-0.727522048793024,7.67984776971849,20.0916941176305,7.38165544606829e-06,0.00784899045380865
"6833","ENSGMOG00000007048",-4.71145473486377,-1.33288375794769,19.9641280818975,7.89087277855638e-06,0.00784899045380865
"13112","ENSGMOG00000013485",4.90365213402228,-0.203980700739448,19.4184200765596,1.04989540075183e-05,0.00969728387651569
"16119","ENSGMOG00000016557",3.65860087305277,-1.01199543103311,18.9863137291844,1.31659445710784e-05,0.0113499219499076
"16322","ENSGMOG00000016765",-3.25990438443091,-0.669313148878718,18.6753440716819,1.54973529431965e-05,0.0123821271147495
"14650","ENSGMOG00000015061",4.12346754984503,-0.766097439554027,18.5756048219044,1.63296959350638e-05,0.0123821271147495
"9294","ENSGMOG00000009572",3.34753654598927,-0.643164611194197,18.4726546603326,1.72359669063097e-05,0.0123821271147495
"3792","ENSGMOG00000003919",4.20933759986835,0.174028857071575,18.2976844630213,1.88936681561795e-05,0.0128586327856609
"19168","ENSGMOG00000019686",4.48834257709035,2.41071426787748,17.9602399259111,2.25567649116923e-05,0.0145840763536547
"3846","ENSGMOG00000003975",-5.30947915232641,0.0695344442591842,17.7760009310937,2.48498032242244e-05,0.0146895874674928
"1000","ENSGMOG00000001038",-3.51262714026535,2.43559056455087,17.7651488545867,2.4991951456565e-05,0.0146895874674928
"14028","ENSGMOG00000014423",0.909711160180108,4.03463087014907,17.5342169111477,2.82183392684995e-05,0.0158628594237544
"5703","ENSGMOG00000005884",-1.54440932362062,3.92822635557479,17.4535404026475,2.94415456012765e-05,0.0158628594237544
"420","ENSGMOG00000000445",-2.02532052170977,-0.272554558480695,16.7908228491676,4.17346501578472e-05,0.0215868304476449
"16774","ENSGMOG00000017229",3.05588385792002,-1.16595138060926,16.5557243213555,4.72411658208528e-05,0.0234952121242095
"18032","ENSGMOG00000018517",0.817384037358328,4.72932932800893,16.387372826709,5.16280250034674e-05,0.0247259996785125
"2101","ENSGMOG00000002178",-2.3342312629751,-0.403053413292304,16.0374348475094,6.21023766142888e-05,0.0278220409648761
"18737","ENSGMOG00000019243",-5.0383412872225,0.130079855583364,16.028511989299,6.23957302591762e-05,0.0278220409648761
"8938","ENSGMOG00000009202",-2.06112103380655,-0.111425787583557,15.766935814393,7.16436912316458e-05,0.0297471749447242
"13654","ENSGMOG00000014040",-1.20560281047842,3.27633348024847,15.7440287889499,7.25164738831751e-05,0.0297471749447242
"7903","ENSGMOG00000008147",0.802644165408109,6.99915581621965,15.7155998096797,7.36145385686471e-05,0.0297471749447242
"15484","ENSGMOG00000015911",-2.55031277078165,3.34187792123939,15.6240273090285,7.72665294489643e-05,0.0302767724940775
"3115","ENSGMOG00000003217",2.65737741089275,1.60686520239149,15.475632819546,8.35757539975589e-05,0.0309035076434873
"5081","ENSGMOG00000005247",-1.63990410598854,2.48833109031485,15.4740512394136,8.36457170769513e-05,0.0309035076434873
"17127","ENSGMOG00000017586",1.10423427336504,3.0890240075109,14.9763200764633,0.000108868806993234,0.0391050706452642
"16518","ENSGMOG00000016966",-1.45918289971318,2.16483695129499,14.7730463073518,0.000121256365118072,0.0423774610092374
"4164","ENSGMOG00000004300",-4.80963636547302,1.10343472923643,14.5448259746741,0.000136863984511912,0.0465733732558824
"16944","ENSGMOG00000017402",-2.3254460118778,1.70493140416788,14.3899699350802,0.000148591674592096,0.0492676652346254
